start	end	text
168600	171880	And so it's kind of going from where you take the wheel
171880	173560	to like you're in the passenger seat
173560	174640	and then you're in the backseat
174640	176840	kind of peering every once in a while.
176840	178560	But I can't help myself from like,
178560	180200	I don't know when she first learned to drive
180200	182640	by like saying, oh, I'm stepping on the brake
182640	183560	here and there, right?
183560	186080	But that's one thing right now
186080	188080	that is probably a little stressful.
188080	189440	Yeah, no, I can imagine.
189440	194080	I read a study that said we process around 72 gigabytes
194080	196400	of information per day,
196400	201200	which the research likened to reading Tolkien's The Hobbit
201200	202200	every single day.
202200	204480	That's nearly 96,000 words.
204480	205480	Right, right.
205480	207000	And you think about that and you go,
207000	208600	no wonder we're overwhelmed.
208600	209920	No wonder we're burnt out.
209920	211160	No wonder we're stressed.
211160	214040	And you have this really brilliant analogy
214040	217000	comparing the brain and our mind to a battery.
217000	217520	That's right.
217520	220200	Walk us through this because I really like this in your book,
220200	223000	Recharge, the way you break it down and explain it.
223000	226800	You know, the recharge came from a good friend of mine
226800	229800	and we were talking about mental health.
229800	231560	And I just asked her, I said, you know,
231560	233400	how's it going with your kids?
233400	235640	And she goes, you know, I was talking to my kids
235640	237760	and I just said, how's your battery?
237760	239560	And I was like, wait, what?
239560	241880	And she goes, well, I said, how's your battery?
241880	243280	I said, why?
243280	246160	And she said, well, if I ask them how they're doing,
246160	248880	I get the plane fine.
248880	251600	And because they're kids, they're just like, I'm fine.
251600	254520	But if I ask them, like, how's your battery?
254520	257080	They're like, well, it's at like 50%
257080	260000	or so you may need a snack because they're little.
260000	262200	Or it's at 75% there.
262200	263520	She's like, oh, you're OK.
263520	265160	Or sometimes they're at 25%
265160	268080	and they just need something to decompress.
268080	271440	While we were talking about it, a light bulb just went out.
271440	273840	And that light bulb that went on was about like,
274320	276720	she took something that at times can be charged
277280	280640	and she took something and really simplified in a way
280640	283320	that I think we would all understand, regardless of age.
283960	285920	And I asked her, I was like, can I run with that?
285920	288280	And she was like, yeah, sure, whatever, right?
288280	290160	And we still laugh about it, Brenda and I,
290160	291720	because she's like, wow, you actually took it.
291720	294160	And I was like, yeah, I used it as a theme.
294160	295640	I talk about it.
295640	297560	I go to clients.
297560	299920	I go out and it just kind of resonates with people
299920	301320	because it's simple.
301320	304400	And it doesn't kind of draw out any emotions.
304400	305800	It just says like, hey, how's your battery?
305800	307120	How are you feeling?
307120	310320	And I think that sometimes that gets lost
310320	313800	because we try to make it bigger sometimes than it is.
314360	316920	And it's really nice when you can kind of just simplify it
316920	318600	and just ask you, how's your battery?
318600	319240	How are you doing?
319240	321000	I love the question, how's your battery,
321000	323880	even more than how you're doing, like you said.
323880	328360	Because I think sometimes we, I think you also mentioned
328360	330680	that we can scale everything up to a 10.
330680	331280	That's right.
331280	334880	So everything can feel like it's a 10, it's the worst.
334880	337840	Or everything can feel like, oh, it's just plain old fine.
337840	338480	That's right.
338480	340560	And then you don't have much to play with.
340560	342680	Whereas when you get a number, walk us through the different
342680	344400	breakdowns as you do in the book.
344400	344880	Yeah.
344880	347200	Because I think when you look at zero to a hundred,
348240	352800	we're very good at feeling zero and maybe a hundred, right?
352800	356880	Like if it's your kid's wedding, chances are you'll be at a hundred.
356880	359680	If it's like your kid's birthday, like you're at a hundred.
359680	363200	Like there's these joyful, blissful moments in life
363200	366400	that people experience and we go, yeah, that was a hundred moment.
366400	368640	And then we all know what a zero moment feels like.
368640	371680	You lost a loved one who sadly passed away.
371680	374320	You got, you know, you lost your job.
374320	376800	Like there's these very zero moments.
377360	379760	Walk us through how you break down the zero to a hundred.
379760	381760	Yeah. And I tried to do it really simply.
381760	385200	You know, I have found, and I'll talk about my own kids at times.
385920	388640	When I asked them that question, how their battery is,
389440	392720	I noticed that they check, like most people,
392720	394080	they check their phones quite often.
394800	396800	And at some point it just becomes like a reflex
397360	398800	and they don't even know they're checking it.
399360	401520	But when they do look at it and the power's down
401520	405920	or it goes yellow or it goes red, they get a little panicked.
405920	407200	Like, oh my God, I got to charge it.
408400	410960	Imagine my surprise when we're in like airports
410960	412560	and they're like going out to people,
412560	414720	can I use a little of your charge, right?
414720	415680	I think we've all been there.
415680	417440	We don't have a charger and usually like,
417440	418400	I need something.
418400	419360	Can somebody help me out?
420080	422080	Most times people are really kind and they'll just,
422080	423920	you know, kind of help you, especially if you're a kid.
424800	427280	I thought about then putting it into zones
427280	428880	and I put it into four zones.
428880	431760	And I just said, you know, if you're at 75 to 100,
432480	433360	you're probably fine.
434000	436720	And meaning that, you know, you're in a zone
436720	437840	where you're just moving along.
438640	442400	If you're at 50 to 75, you're probably in a place
442400	445280	where you might need to start to think about
445280	447280	how you may want to recharge.
448160	450240	If you're in that 25 to 50,
450800	453120	it's time to start figuring out, take a break.
453120	454560	You may need to take a walk.
454560	456560	You may need to put down the phone.
456560	459440	You may need to stop the litany of Zoom calls
459440	460800	that you're on right now, right?
461440	463760	And if you find yourself zero to 25,
464400	466880	that's a real kind of indicator for you to say,
466880	468880	hey, something's probably not right.
469600	472480	And I need to really kind of take a hard stop
472480	474080	and figure out how I recharge.
474080	476480	And recharge can happen in a number of different ways.
477200	479840	And so I've often talked about
479840	481280	when I've gotten into that zone,
481920	483760	I just kind of almost go for a walk.
484880	486160	I sometimes go outside.
486720	487760	I take some deep breaths.
488320	489440	I do a number of things.
489440	490800	Sometimes I may need a workout.
490800	493680	A workout really helps me to recharge on a personal front.
494320	496080	And everyone's a little bit different
496080	497760	and they'll go to different techniques.
497760	499760	And so in the book, I list a lot of things
499760	500960	in the book that you may do.
501600	504080	You may do one, two, three, four, or all of them.
504640	506320	And they're just really techniques
506320	508320	for you to figure out what works for you.
509280	511600	Yeah, no, and I really like that breakdown
511600	513680	because I think we're all better
513680	515440	when we're measuring things with numbers.
515440	515840	That's right.
515840	517120	There's a specificity there.
517120	517760	Yeah, yeah.
517760	519040	And I'm one of those people,
519040	521440	I think the way your phone is charged
521440	523280	says so much about you as a person.
523280	525200	So my phone is always charged.
525200	525680	Yeah.
525680	530320	I'm very rarely below 30% or 40% on my phone.
530960	534080	And I think I try and monitor my personal health
534080	535120	in a similar way.
535120	535600	Right.
535600	538080	As soon as I feel myself going below 50%,
539040	541120	I know it's time for an early night.
541120	543680	I know it's time to cancel weekend plans.
543680	546560	I canceled a dinner this evening for that exact reason.
546560	546960	Mm-hmm.
546960	548640	I got back from work yesterday.
549120	552160	I left, I started work yesterday at like 8.30 a.m.
552160	555680	and I got back from a shoot at 9.30 p.m.
556480	558320	And I knew I had a dinner tonight.
558320	561440	And I just said, I'm so sorry, I can't make it.
561440	561920	Good for you.
561920	563280	Because I knew I had a busy day today.
563280	563920	I was interviewing you.
563920	565440	I was interviewing another guest.
565440	567280	And I was like, I want to be really present for that.
567280	569120	It's really critical stuff.
569120	571920	And then I need to recharge using your word.
571920	573520	I need to recharge this evening.
574160	577600	And I'm always shifting things to recharge.
577600	580720	And I love that idea because I think we hear the word rest.
581280	583040	And then sometimes we feel guilty.
583040	584400	We shouldn't, but we feel guilty.
584400	585840	Like, I don't have time to rest.
585840	586400	Yeah.
586400	588240	But when you think of it about recharging,
588240	590800	you're reframing it and going, oh, I do need to recharge.
590800	593360	Because otherwise, how am I going to give my best tomorrow?
593360	594080	100%.
594080	594640	100%.
594640	595920	And you know, it's funny.
595920	597680	You and me are the same on batteries.
597680	599920	I keep my battery pretty charged as well.
599920	601680	I have an electric car too.
601680	605520	I marvel at people who could take that electric car battery down to 5%.
605520	606320	I can't do it.
606320	608080	That stresses me out.
608080	610240	I'm stressed out when they tell me these stories.
610240	611920	Oh, I took the battery down to 5%.
611920	613600	I'm like, seriously?
613600	614240	How?
614240	615840	I mean, and they're like, oh, it's fine.
616560	618000	And for some people, it works, right?
618000	619440	For me, that doesn't work.
619440	621520	I'm plugging in that battery every night.
621520	624160	And I'm going to make sure I charge that battery up.
624160	625680	Others will let it go pretty low.
625680	627040	Everyone's a little bit different.
627040	627920	That works for them.
628800	631520	I've asked some of my friends who charge it go really low.
631520	634240	And they're like, well, if I charge it too much, I get stressed.
634240	636800	I'm like, oh, OK, it can work the other way.
636800	637680	Interesting.
637680	642000	So it's got to kind of work for you and how you want to recharge
642000	644000	and different techniques that you want to do.
644000	646800	You're never really going to have a stress-free work environment.
646800	650000	Anxiety, depression, and then starts to lead to physical ailments
650000	651920	because we know there's a linkage.
651920	654800	Good stress could lead to resilience.
654800	656320	It could lead to growth.
656320	658640	It actually could lead to a stronger culture.
658640	660800	I was wondering if someone's at a zero,
660800	662400	when you ask them, how's your battery?
662400	662960	Yeah.
662960	666480	And if someone says, I'm at five and I'm talking about emotionally,
666480	668480	mentally, not their car or their phone,
670000	670880	what would you say to them?
670880	675520	How would you communicate with them some of these tools
675520	676720	when you're at zero?
676720	681280	I've learned to, like, take the space to give them space
681280	683360	so we can actually have a proper conversation.
684240	687440	If you find someone at a really low percentage,
687440	689760	and I may ask that person, like, how are you doing?
689760	693440	How are you feeling? And most of the time, you just want a,
693440	695920	I'm good, because then you just want to keep going.
696640	699040	And I find that often in the business world as well,
699040	701200	not just in the personal world, but in the business world.
701200	703520	We don't want a response,
704240	707360	or sometimes we don't have the time to be like,
707360	710560	if that person who you're asking the question to says,
710560	713680	I'm not doing so hot and I'm not doing so well,
713680	714400	then what do you do?
715040	718400	So I'm very intentional when I ask some of these questions
718960	720720	to individuals so that I give,
721280	723840	I'm ready for that response if it's, I'm not doing well,
723840	725760	like a 5%. So I kind of want to frame it there.
725760	726560	I love that. Yeah.
726560	728880	I think sometimes you rush through these conversations.
729440	732080	And then when they do tell you they're a 5 or a 10,
732080	734160	I think the best things that I have found
734160	735520	is you have to be present for them.
736160	736960	You have to listen.
736960	738960	You do such a brilliant job at that, Jay,
738960	741600	because even in this type of environment,
741600	743680	we know as we have this one-to-one conversation,
743680	746480	if I was telling you I was a 5 or a 0,
746480	749200	you'd be all in on this and you would hear me out.
749200	750960	And then you would start to tell me,
750960	753440	okay, let's talk about what's causing that.
754240	757680	And I've had at times where family members have come to me and said,
757680	759120	hey, I'm at a 5.
760080	761840	And we start to break it down.
761840	763840	And I said, let me put it in another way for you.
764480	765280	Think about your phone.
765280	767600	And we do checks on our phone.
768160	770800	And there's things on your phone that drain your battery
770800	772160	more than other applications.
772160	774400	And they're like, yeah, it's like when you go and
774400	777120	Apple shows you what's draining or taking up all your memory.
777680	780080	And what happens when you start to delete some of those things?
780720	784080	Or what happens when you start to recognize what's causing it?
784080	786960	They're like, oh, my battery is much more efficient.
786960	788080	And I'm like, yeah.
788080	791760	So what's causing that in your personal life right now?
791760	792400	Yeah.
792400	796160	And we try to create like, you know, analogies of different things.
796160	801280	And so it doesn't become a space where all we're doing is talking about all the negativity.
801280	804960	We're trying to draw parallels to different things in everyday life.
805520	808640	And so that it doesn't become such a charged conversation.
808640	808960	Yeah.
808960	809280	Right.
809280	812240	And that's kind of the recharge concept as well, where we're like,
812240	814320	let's talk, let's talk about your mental health.
814320	817040	Because sometimes some people don't want to talk about their mental health.
817040	817600	Mm-hmm.
817600	820880	But when we bring up the battery conversation or how to recharge,
820880	822640	it's just a different framing.
822640	826400	And again, this is something I think you just do brilliantly to bring everyone in.
827200	829920	And I try to do the same thing there as well.
829920	830160	Yeah.
830160	832880	I was going to ask you that, actually, because I've always felt that with you.
833520	837600	You've always been present at different touch points, whether we're at dinners, events,
838560	841760	even when we've traveled and seen each other when we're in New York for a dinner,
841760	843040	for time earlier this year.
843040	845360	You're always present, too.
845360	847360	And I wonder, how do you do that as a busy CEO?
847360	851840	Because I think you're so right that when we ask the question, how are you doing,
852880	856960	we are subconsciously hoping someone just says, I'm good.
857600	863600	We are all, we almost ask the question and expect the response even before we have a response.
863600	864240	You're so right.
864240	865760	Like, that really resonated with me.
866480	870560	And the truth is, sometimes life is fast for most of us, right?
870560	872720	Our schedules are back to back to back.
872720	878400	We are running from dropping your kid to school, running to work, picking up the laundry,
878400	880160	doing the laundry, whatever, right?
880160	881280	There's so much going on.
882080	887040	How do you actually create space for these conversations?
887040	890720	And that's part of being a lot more present and intentional.
891200	895360	As leaders, and I'd be curious now for you as CEO as well,
896480	898160	we're expected to have all the answers.
899040	901840	We're expected to make many different types of decisions.
902480	905920	We're expected to play roles in HR, but also company strategy.
906560	909440	And, you know, when you take a step back, you can't make every decision.
910160	913280	And then there's always things that don't, that are the unexpected.
913760	915040	Take your car analogy.
915040	918800	So when you had your car and you were at 30%, you were probably with someone.
918800	921440	But in the back of your mind, you're going, how am I going to get home?
922080	923120	Where am I going to charge?
924080	928480	And you could do this probably better than most, but you still want to be present for that
928480	932240	individual that you're with or your friends that you're with in those conversations.
932960	936880	And what I find is like, sometimes we as leaders have to make the space.
937840	943200	Sometimes we as leaders have to show something that you do absolutely brilliantly is to show
943200	946320	a vulnerable side to them and talk about our own stories.
946880	950560	I find that many CEOs today aren't vulnerable.
951120	953680	I, for one, was not very good at being vulnerable.
954240	962480	When I wrote the book though, I was just taken back at how many people who I met for the first time
962480	966320	were so open and honest and vulnerable with myself.
967200	971520	And it got me thinking, well, if they can do it, why can't I do it?
972240	972560	Right?
972560	979280	And if I started to show some of that vulnerability at work, if I started to give a little bit of space
979280	985840	and more time for that conversation, would that then make it just more open for others
985840	988480	and more safe for others to have the conversation?
989120	993120	Because if I, if I'm not having that conversation and saying, here's my own journey,
994000	997600	then they may feel that it's not okay for them to open up as well.
998160	998400	Right?
999120	1001200	I just be curious, like you as CEO, right?
1001200	1003520	You're, I mean, you've got all these different businesses.
1003520	1005040	How do you do that with your own employees?
1005040	1009360	Yeah, I think it's a, for me, it comes to the balance.
1009360	1011280	So vulnerability is a great point.
1011280	1017360	And, and I really appreciate that because I do agree that if you create space to share
1017360	1021600	what you're going through with your teams, they then have the permission to do the same.
1021600	1027120	And I think I was mentioning when we did a panel at Calm Coast a month ago or so,
1027840	1033920	I was talking about a client of mine that I was coaching, who's the CEO of a very large corporation.
1034640	1039040	And we'd gone through a transformation. They were saying to me, Jay, I'm, you know,
1039040	1042000	I'm feeling good. And I was like, great. Well, you should tell your team about your journey.
1042000	1043280	And they were like, how can I tell them?
1043280	1043680	Right.
1043680	1046080	And I said, what do you mean? And they said, well, if I tell them,
1046080	1048320	they're going to think I'm weak. And I was like, no, I promise you,
1048320	1049600	they're going to think you're strong.
1050240	1055920	And I think we're still redefining and reframing strength in the world today.
1055920	1062880	I think there are some of us who still see bravado and arrogance and chauvinism as being strong.
1063760	1067120	And I think that's shifting, but it's shifting very slowly.
1067120	1068640	That's right.
1068640	1076640	It is a cultural expectation as well, societal expectation of strength being this kind of facade.
1076640	1078640	But I think a lot of us are now realizing, well, no,
1078640	1083200	strength is being able to show both sides and open up and be vulnerable.
1083200	1088160	I think the other thing that really comes to mind when I'm thinking about being CEO is,
1088720	1091840	I think stress can make people work harder,
1093120	1096640	but it's the right amount of stress that makes someone work better.
1096640	1097600	So good. So true.
1097600	1099520	Right? There's a spectrum of stress.
1099520	1100320	So true, so good.
1100320	1102640	If I just keep checking in with someone and go, have you done it yet?
1103200	1106960	Are you done yet? Why are we not there yet? Why did the numbers not triple this?
1106960	1110320	If I do that, they're going to feel stressed and they may work harder,
1110320	1111600	but that doesn't mean they work better.
1111600	1112160	That's right.
1112160	1115760	And so to me, the right amount of stress, and I want to ask you this as well,
1116400	1121440	talk to me about the difference between good stress and bad stress and how you've been able
1121440	1124400	to harness the right amount when you've got it right.
1124400	1129600	In the book, actually, I interviewed Dr. Aditi Nurikar and you met her.
1129600	1130560	Yeah. She's wonderful.
1130560	1131520	Fantastic. Right.
1132160	1135600	And we got into this whole conversation of good stress, bad stress.
1136320	1139600	You stress, good stress versus bad stress, distress.
1139600	1145760	And, you know, we talked about how good stress could lead to resilience.
1145760	1147280	It could lead to growth.
1147280	1149280	It actually could lead to a stronger culture.
1150560	1153280	You're never really going to have a stress-free work environment.
1153280	1153840	Agreed.
1153840	1155600	You know, we're always going to have stress at work.
1156160	1157440	We're all going to have deadlines.
1157440	1159920	We're all going to have things we're going to want to hit.
1159920	1166000	But not everything has to be, just like you said, 24-7, 365.
1166640	1171920	Because at some point, it's going to stack so much that you as a leader are realizing you're
1171920	1173440	probably not being very efficient.
1173440	1178480	Your employees are probably not working super efficiently, not working well together.
1178480	1182000	And they're probably, you've caused a lot of bad stress, distress in their life.
1182000	1186320	That's leading to things like anxiety, depression, and then starts to lead to physical ailments.
1186320	1192160	Because we know there's a linkage between, you know, your mental health and your physical health.
1192160	1196080	And so that becomes a very vicious cycle, especially in the workplace.
1196080	1199040	And that leads to a lot of unproductivity.
1199040	1204560	What I've found with the two is you really have to find that right balance and understand there
1204560	1206960	will be, and just talk about it.
1206960	1207680	There's a push.
1207680	1208800	We're all going to make a push.
1209440	1214400	We did it recently as a company at Calm around the elections.
1214960	1220000	And we treated the elections like our Super Bowl moment because we knew, and we saw the data,
1220000	1225760	that people's stress was rising every day as that day, November 5th, got closer and closer.
1225760	1226800	We saw it in the App Store.
1226800	1227760	We saw it in comments.
1227760	1229520	We saw it on social.
1229520	1235200	So we really came together as a company to do different types of things around that.
1235200	1238160	Take a breath, 30 seconds or 15 seconds of silence.
1239280	1244240	We showed animals from the San Diego Zoo on Instagram.
1244240	1248800	And we got so many people commenting that day that said, hey, thank you for the silence.
1249520	1255120	Thank you for my 15 seconds in this world where so many things are happening.
1255120	1258800	Now, people were dialing in from work because they were stressed at work.
1258800	1260480	Stress doesn't just mean it's at home.
1260480	1263280	It was like people were like during the elections coming in from work.
1263280	1267920	And so we wanted to give them a little bit so they had a release so they could be more productive.
1268480	1274080	So there's a lot of things around stuff that I look at for good stress and bad stress and recognize
1274080	1278800	there's always going to be a push-pull, but that's the part where you can't do it alone.
1278800	1279760	You got to have a good team.
1279760	1280720	You got to talk about it.
1280720	1286480	You do this so well and make sure that becomes part of your fabric, your culture, your DNA.
1287280	1290800	And I think it's shifting, but it's slow.
1290800	1291440	Yeah.
1291440	1294480	I think the conversation around mental health in everyday life,
1295600	1298720	it's the most approachable it's ever been, right?
1298720	1301680	I talk about things with my own kids today around mental health.
1302320	1306560	When I was a child coming, you know, I'd be curious, like for you, like immigrant family,
1307120	1310080	we didn't talk about our mental health in my household, right?
1310080	1314000	We talked more about powering through things and I can talk about that later,
1314000	1315440	but we didn't really talk about it.
1315440	1319680	My kids talk about it. They may overuse it at times, not use it the right way.
1320480	1322640	It's okay. They're having the conversation.
1322640	1325360	Their friends are having the conversation. I think that's great.
1326320	1330480	But when you go to the workplace, it kind of stops, you know?
1330480	1333760	And I go to so many places and I'm like, do you talk about your mental health at work?
1333760	1334400	And they're like, no.
1335120	1337280	And I'm like, well, let's change that dialogue.
1337840	1341120	Let's make it as approachable as it is in everyday life.
1341120	1344560	And how do we start to do that? Let's give you the tools and we'll start at the top.
1344560	1346160	Yeah, you're so right. You're so right.
1346160	1352080	What you're painting a picture of for me is that I look at the good stress being
1352080	1354640	when we all know what challenge we're up against.
1355360	1358800	We know what the goal is and everyone feels supported.
1359360	1363680	And I think what often happens is people don't know what the goal is
1363680	1365680	because you're not helping them do that.
1365680	1368720	They only see the challenge and they don't feel supported.
1368720	1369440	That's right.
1369440	1374080	So now they don't know where they're going and they feel if they fall flat on their face,
1374080	1375360	they have nothing to catch them.
1375360	1376160	That's right.
1376160	1380640	As a leader, the goal is to provide the goal and the support.
1380640	1382720	And then the person can focus on the challenge.
1382720	1385120	Yeah. And be transparent in that journey.
1385120	1389600	You know, I speak to many CEOs in the Valley and over the world.
1389600	1394160	And, you know, a lot of times I'll ask them, how do you prioritize things with your employees?
1394160	1395760	How transparent are you?
1395760	1398320	And I'll tell you, many of them are not that transparent.
1398320	1400240	Or they'll be like, these are the most important things.
1401200	1404240	And then they'll add five more and then five more.
1404240	1405600	Right. And I'll be like, oh, okay.
1406320	1407520	What did you take away?
1408160	1409360	And they're like, what are you talking about?
1409360	1411680	I mean, what did you take away?
1412480	1414880	And they're like, nothing.
1415440	1418400	And I'm like, well, how do you think that's affecting your employees?
1419040	1421120	And they're like, I never really thought about that.
1421680	1426800	So I've just compounded and stacked the problem as a leader.
1426800	1433600	And you didn't take anything away and it cascades down like a megaphone.
1434240	1439040	Think about what that employee is going through and walk in their shoes for a minute.
1439760	1445040	You know, we at the top have the luxury of having more control over our schedules.
1446080	1448800	But that person may not have as much control over their schedule.
1448800	1450480	They're just ticking through things.
1450480	1450960	Yeah.
1450960	1456240	And if you just keep adding and not taking certain things away and saying, this is important.
1456240	1457360	This isn't important.
1457360	1458400	Here's how I think about it.
1458400	1459760	Here's how I'm being transparent.
1460480	1462240	You're adding more stress to your company.
1462240	1465200	You know, leaders struggle with how to be vulnerable.
1465200	1466560	Is it going to be used against me?
1466560	1467040	Yeah.
1467040	1469360	Is someone going to write about it and say I'm too weak?
1469360	1472480	Is the board going to think I'm weak as a leader?
1472480	1476800	That's ultimately also a fail of corporate stewardship.
1476800	1479520	Because they have to also look after your mental health.
1479520	1481120	At Calm, I love this.
1481120	1486400	When I first got introduced to Calm and started taking calls with the teams
1486400	1490640	and I took my role of chief purpose officer, I got integrated into the culture.
1491520	1496880	I loved the little things and the focus on the little things at meetings at Calm,
1496880	1498880	whether they're on Zoom, in person.
1498880	1504240	I want to hear about these smaller things that are happening on a daily basis.
1504240	1507840	Because I think often companies think they need to put out a thing that says,
1507840	1511360	we're focusing on company mental health and they're doing these big things.
1511360	1516320	But Calm internally, let alone the work they do with other companies and workplaces,
1516320	1523040	but Calm internally had some really nice cultural things that I noticed from the outside in
1523040	1524720	as I was being integrated.
1524720	1528640	Walk us through some of those daily things that you think create the rituals and practices
1528880	1529840	that help people.
1529840	1535360	It was interesting for me, my first day at Calm, I walk in and they're Michael and Alex,
1535360	1536880	who you know well, the founders, right?
1536880	1537520	Yeah, I love them.
1537520	1540720	And they love you and they talk about you all the time and how you all first met.
1541600	1546960	And they introduced me to the company, warm welcome, so inviting.
1547600	1551040	And they started the whole all hands off with a meditation.
1552640	1553920	And I wasn't really used to that.
1554800	1559920	You know, and I was I was kind of sitting there and I kind of noticed everyone.
1559920	1562160	And normally we listen to someone like yourself.
1562160	1566000	We'll turn you on or we'll turn one of our other kind of narrators on.
1566000	1566720	They do great.
1567280	1569520	And everyone just kind of sat there in the moment.
1569520	1572560	And whether it was sometimes it's, you know, really quick, 30 seconds,
1572560	1574960	sometimes it's five, six minutes, something three minutes.
1575760	1580160	And they listened and it was and I kind of was peeking at times looking.
1580160	1584000	I'm like, is everyone kind of closing their eyes, you know, around here, you know, looking there.
1584000	1586480	And they were just in the moment.
1586480	1589440	It was a moment for me that showed me how much they cared.
1590160	1591840	And I was like, wow, this company cares.
1592560	1593840	This isn't forced.
1593840	1594960	You don't have to be here.
1594960	1596480	You don't have to do this.
1596480	1599120	And they were there and they were present and they were in the moment.
1599920	1600960	So that's like some of this.
1600960	1603680	That was one of the ways I knew this company was going to be different.
1604560	1610880	And then I watched as the company did things around gratitude, where we end every all hands
1610880	1611680	with gratitude.
1612240	1617680	We read things that have come into us and it's a reminder of the impact we're having.
1618400	1624720	And I think that's why sometimes I'm so stressed because I feel this weight of responsibility
1625280	1628160	where every second of every day someone is using the product.
1628880	1635280	And I just feel like if we're not answering them or not helping them in the moment,
1635280	1636960	someone's not getting something that they need.
1637920	1641040	And I feel that stress and I feel the response.
1641040	1642240	It's really responsibility.
1642240	1642560	Yeah.
1642560	1644880	And I talk about that with the employees.
1645440	1647360	And I think it's really important to talk about that.
1647360	1649120	So we do the gratitude piece at the end.
1649680	1655120	We have zoom free days, you know, where I talk to employees about,
1655120	1660400	hey, if you're in a moment where you find yourself in five zooms, take a beat.
1660960	1662080	You don't need to do that.
1662080	1665360	And if there's meetings that don't make sense, just like you did tonight, which was great.
1666080	1667840	Just say, no, it's okay.
1667840	1669360	You know, we'll figure it out.
1670000	1670880	And I do that too.
1670880	1676000	And I try to be a lot more purposeful now because it helps me then be more present
1676000	1677600	in the meetings that I need to be in.
1677600	1678000	Yeah.
1678000	1678720	Right.
1678720	1682400	And rather than saying, it's not the quantity of meetings that I'm in,
1682400	1684720	it's those quality of meeting moments that I'm in.
1685280	1692320	And I think people sometimes like misinterpret like quantity for productivity versus like value.
1692960	1698160	And I'm much more like, okay, I'm going to do, I'm going to focus on quality.
1698160	1699120	And it may mean less.
1699760	1702240	And that doesn't have to sacrifice my impact.
1702240	1704720	I was going to ask you, how does it impact productivity?
1705440	1709280	And I do think that we've convinced ourselves that if I'm doing more,
1709280	1713440	if there's more on my schedule, if I'm jumping around, we've created
1714240	1719520	our definition of value to be around busyness, right?
1719520	1720320	Yes.
1720320	1724800	And we all feel we're more important, valuable, and it's subconscious.
1724800	1728720	Again, you just think, oh yeah, if I've got a lot to do, then I must be doing something.
1728720	1729280	Yeah.
1729280	1731360	How do we start to shift that conversation?
1731360	1732800	What have you learned about that?
1732800	1736240	I know you interviewed some amazing people as well, as you were saying inside the book.
1736240	1740080	What did you learn about how we can reframe what we believe makes us valuable?
1740080	1740880	Yeah, yeah.
1740880	1747360	So I had, so two people in particular, so John Scully, for example, the former CEO of Apple,
1748320	1752000	he talked about how in the book he was chief listening officer.
1752640	1754160	And I was like, really?
1754160	1754880	And he's like, yeah.
1755600	1758800	Like Steve asked that we make our own business cards.
1759760	1761680	And I wrote chief listening officer.
